No,Nama Produk,Harga,Rating,Terjual,Toko,Lokasi
1098,ASUS ZENBOOK 14 OLED TOUCH 14 RYZEN 7 7730 16GB 1TBSSD WIN 11 14.0 2.8K UM3402YA,11699000,5.0,9 terjual,Deca Computer,Jakarta Utara
1099,HP Pavilion Plus 14 OLED Ryzen 7 7840U 16GB 1TB W11+OHS 14.0 -EY0013AU,11699000,5.0,1 terjual,ProStoreComputer,Jakarta Utara
1100,LENOVO YOGA 7 2IN1 14 14IML9 TOUCH ULTRA 5 125U 16GB 512GB W11 14.0HD IPS,11699000,5.0,1 terjual,Deca Computer,Jakarta Utara
1101,ASUS ZENBOOK 14 OLED UM3402YA TOUCH RYZEN 7 7730 16GB 1TB 512GB W11 1OFFICE 4.0 2.8K,11699000,5.0,50+ terjual,royalltech,Jakarta Utara
1102,ASUS Vivobook S14 Flip TN3402YA-VIPS558 - Quiet Blue [AMD Ryzen 5 7430U / AMD Radeon Graphics / 16GB / 512GB / 14inch Touch / WIN11 / OHS],11699000,5.0,16 terjual,Asus Official Store,Jakarta Timur
1103,"ASUS VIVOBOOK S15 OLED S5506MA CORE ULTRA 7 155H 16GB 1TB W11 15.6"" QHD IPS 3K 120Hz",11699000,Tidak Ada Rating,7 terjual,ROGS STORE,Jakarta Utara
1104,Laptop HP Victus 15-fb2777AX fb2778AX fb2779AX R5-8645HS 8GB 512gb RTX3050 6GB 15.6″ FHD W11,11699000,5.0,2 terjual,PLAZA IT STORE,Medan
1105,Lenovo Thinkpad Yoga L13 G3 2IN1 Touch i7 1255 16GB 512GB W10PRO FHD,11699000,5.0,30+ terjual,ALIENWARE GAMING STORE,Jakarta Utara
1106,ACER TRAVELMATE P214 TMP214 0034 TKDN I5 1135G7 8GB 512SSD W11 HD FP 3YEAR,11699000,5.0,4 terjual,Digitalzone Tangcity,Tangerang
1107,ASUS ZENBOOK 14 OLED UM3402YAR TOUCH RYZEN 7-7730U 16GB 1TB 14.0 2.8K,11699000,5.0,50+ terjual,Gateway Indonesia Comp,Jakarta Utara
1108,"ASUS VIVOBOOK S15 OLED S5506MA INTEL ULTRA 7 155H 16GB 1TB SSD W11 15.6"" QHD IPS 3K 120HZ",11699000,5.0,1 terjual,Gateway Indonesia Comp,Jakarta Utara
1109,"ASUS VIVOBOOK S15 OLED S5506MA - ULTRA 7 155H 16GB 1TB W11 15.6Q"" HD IPS 3K 120HZ",11699000,Tidak Ada Rating,3 terjual,Gaming Laptop ID,Jakarta Utara
1110,"LENOVO IdeaPad Slim 5 Ryzen 7-7730U 16GB 512GB 14"" WUXGA OLED W11 OHS",11699000,5.0,12 terjual,ALIENWARE GAMING STORE,Jakarta Utara
1111,HP Victus 15 fb2777AX A4TY6PA Ryzen 5 8645HS 8GB 512GB 3050 W11 OHS Mica Silver,11699000,5.0,6 terjual,Blessing Computer Bali,Denpasar
1112,"Asus Vivobook S 14 OLED S5506MA Ultra 7 155H RAM 16GB SSD 1TB W11 15"" QHD 120HZ 3K",11699000,Tidak Ada Rating,Tidak Ada Data,Deca Computer,Jakarta Utara
1113,Lenovo ideapad slim 5 14 OLED RYZEN 7 7730U 16gb 512gb W11 + OHS 14.0WUXGA 2Y PREM+ADP GRY -9UID,11699000,5.0,2 terjual,Agres ID Surabaya,Surabaya
1114,HP Victus 15 FB2777AX RTX 3050 - RYZEN 5 8645HS 8GB 512GB OHS 15.6 FHD 144HZ,11699000,4.5,23 terjual,NVIDIA GeForce Laptop,Jakarta Utara
1115,ASUS Vivobook 14 A1404VA VIPS711M Core i7 1355U 16GB 1TB W11 OHS Quiet Blue,11699000,5.0,5 terjual,Blessing Computer Bali,Denpasar
1116,ASUS VIVOBOOK FLIP TP470EZ 2IN1 TOUCH I7 1165G7 14.0 16GB 1TB SSD W10,11697000,5.0,3 terjual,OrKa,Jakarta Utara
1117,ASUS ZENBOOK 14 OLED UM3402YA TOUCH RYZEN 7 7730 16GB 1TB OHS W11 14.0,11689000,4.9,100+ terjual,ProStoreComputer,Jakarta Utara
1118,Asus Vivobook S15 OLED S5506MA Intel Ultra 7 155H 16GB 1TB W11 15.6QHD 3K 120HZ,11684000,5.0,13 terjual,ALIENWARE GAMING STORE,Jakarta Utara
1119,Laptop HP Victus 15-fb2777AX fb2778AX fb2779AX R5-8645HS 8GB 512GB RTX3050 6GB 15.6″ FHD IPS W11,11679000,Tidak Ada Rating,Tidak Ada Data,Primajaya - HP Authorized,Medan
1120,Macbook Air M2 13-inch 512gb Resmi IBOX Second Fullset Original,11650000,Tidak Ada Rating,2 terjual,ARL SELLULAR,Jakarta Selatan
1121,LENOVO IDEAPAD SLIM 5 ULTRA 5 125H 16GB 512GB SSD W11+OHS 14INCH WUXGA,11649000,4.9,100+ terjual,AGRES ID,Jakarta Utara
1122,"LENOVO IdeaPad Slim 5 14IMH9 Ultra 5-125H 16GB 512GB 14"" WUXGA W11 OHS",11649000,5.0,100+ terjual,Collins Official,Jakarta Pusat
1123,Lenovo IDEAPAD SLIM 5 14 OLED ULTRA 5 125H 16gb 512ssd W11 + OHS WUXGA,11649000,5.0,30+ terjual,Agres ID Surabaya,Surabaya
1124,Lenovo Ideapad Slim 5 OLED Core Ultra 5 125H 16Gb 512Gb Win11+Ohs 14.0,11649000,5.0,30+ terjual,Agres ID Bekasi,Bekasi
1125,"Lenovo Ideapad Slim 5 OLED 14IMH9 - ULTRA 5 125H 16GB 512GB 14"" WUXGA",11649000,4.8,40+ terjual,INTEL STORE ID,Jakarta Utara
1126,Asus Vivobook 14 OLED M1405YA Amd Ryzen 7 7730U 16gb 1TB Windows 11 14.0 2.8K + OHS,11649000,5.0,5 terjual,AGRES ID BOGOR,Bogor
1127,Lenovo Slim 5 14 Core Ultra 7 - Ultra 5 AI Boost OLED 400nits Glossy 2Y ADP 2Y Premium Care,11639000,5.0,100+ terjual,Kang Laptop,Jakarta Selatan
1128,"LENOVO IdeaPad 5 2-in-1 14IRH9 i5-13420H 16GB 512GB 14"" WUXGA OLED W11 OHS",11629000,5.0,20 terjual,Protech Computer,Jakarta Pusat
1129,"LENOVO IdeaPad 5 2-in-1 14IRH9 i5-13420H16GB 512GB 14"" WUXGA OLED W11 OHS",11629000,5.0,24 terjual,Collins Official,Jakarta Pusat
1130,Lenovo Ideapad 5 2in1 OLED Core I5 13420H 16GB RAM 512GB SSD Windows 11 WUXGA 14 inch 0YID 14IRH9,11629000,5.0,18 terjual,Thinkpad Official Store,Jakarta Utara
1131,Lenovo Ideapad 5i 2IN1 i5-13420H 512GB SSD 16GB IPS Touch Win11+OHS,11629000,5.0,30+ terjual,Sinarmulia Sukses Makmur,Jakarta Barat
1132,"Lenovo Ideapad 5i 2in1 i5-13420H RAM 16GB 512GB SSD 14"" WUXGA IPS",11629000,5.0,13 terjual,Distributor Laptop ID,Jakarta Pusat
1133,Lenovo IDEAPAD 5 2IN1 14 I5 13420H 16gb 512gb W11+OHS 14.0 WUXGA PEN 2Y+2ADP BLUE,11629000,5.0,4 terjual,Agres ID Surabaya,Surabaya
1134,"Lenovo Ideapad 5 2In1 14IRH9 i5 13420H 16Gb 512Gb 14"" WUXGA IPS",11629000,5.0,1 terjual,Agres ID Bandung,Bandung
1135,"Lenovo Yoga Slim 7 AYID CI5-1135G7 8GB 512GB 14"" FHD IPS OHS W10",11610000,5.0,2 terjual,GRAHA IT OFFICIAL,Surabaya
1136,ASUS Zenbook 14 OLED UM3402YA Ryzen 7 7730U 16GB 1T W11 14.0 2.8K,11599000,4.9,80+ terjual,Top Tech Comp,Jakarta Utara
1137,"HP PAVILION AERO 13 BE2001AU 13.3"" R5-7535U RAM 16GB ROM 512GB W11 SLV",11599000,5.0,2 terjual,AMD Authorized Jakarta,Jakarta Timur
1138,"HP PAVILION AERO 13 BE2002AU 13.3"" R5-7535U RAM 16GB ROM 512GB W11 GLD",11599000,5.0,3 terjual,AMD Authorized Jakarta,Jakarta Timur
1139,Asus Vivobook 14 A1404VA [i7-1355U|RAM 16GB|SSD 1TB|Win11|OHS21],11599000,5.0,5 terjual,megacom.id,Jakarta Pusat
1140,HP Pavilion X360 14 Core 7 150U RAM 16GB 512GB SSD Windows 11 Pro OHS 14 Inch Full HD IPS Touch Screen Stylus Pen,11599000,5.0,5 terjual,Tidak Ada Data,Tidak Ada lokasi
1141,Msi Modern 15H C13M i7 13700H 16GB 512GB SSD 15.6Full HD IPS W11+OHS,11599000,Tidak Ada Rating,Tidak Ada Data,LAPTOP GADGET ID,Jakarta Pusat
1142,Lenovo Ideapad Slim 5i i5-13420H 1TB SSD 16GB WUXGA OLED Win11+OHS,11579000,5.0,11 terjual,Sinarmulia Sukses Makmur,Jakarta Barat
1143,Lenovo Ideapad Slim 5 OLED 14IRL8 Core i5 13420H 16GB RAM 512GB SSD Windows 11 OHS 14 Inch WUXGA,11579000,4.3,24 terjual,Thinkpad Official Store,Jakarta Utara
1144,"Lenovo IdeaPad Slim 5 14IRH10 OLED Core i5-13420H 16GB 1TB w11 14""",11579000,Tidak Ada Rating,1 terjual,AGRES ID,Jakarta Utara
1145,"LENOVO IdeaPad Slim 5 i5-13420H 16GB 512GB SSD  14"" WUXGA OLED W11 OHS",11579000,5.0,18 terjual,Collins Official,Jakarta Pusat
1146,"Asus Vivobook 16X K3605VC Core I5 13420H RTX3050 4GB 16GB 512GB 16"" WUXGA 144Hz",11579000,5.0,5 terjual,ALIENWARE GAMING STORE,Jakarta Utara
1147,Asus Zenbook Flip UX363EA 2in1 13 Touch i5 1135G 8GB 512GB W10 OFFICE,11557000,5.0,3 terjual,OrKa,Jakarta Utara
1148,Dell Precision 5550 Core i7 10875H VGA Nvidia Quadro T2000 Max Q  15-Inch Mulus,11550000,Tidak Ada Rating,1 terjual,Zondo Computer,Bekasi
1149,Asus Zenbook 14 OLED UM3402YA Touch Ryzen 7 7730 16GB 1TB W11 14.0,11549000,5.0,7 terjual,EnVicStore,Jakarta Utara
1150,"Asus Zenbook UM3402YA OLED TOUCH RYZEN 7 7730 VEGA8 16GB 1TBSSD 14""",11549000,5.0,11 terjual,ALIENWARE GAMING STORE,Jakarta Utara
1151,Asus Vivobook 14 A1404VA I7 1355 16Gb 1TB 14 FHD,11549000,5.0,30+ terjual,Agres ID Bandung,Bandung
1152,ASUS VIVOBOOK 14 A1404VA CORE I7 1335 16GB 1TB OHS 14.0FHD IPS,11549000,5.0,50+ terjual,ROGS STORE,Jakarta Utara
1153,"Asus Zenbook 14 OLED UM3402YA Touch Ryzen 7 7730 16GB 1TB W11 14"" 2.8K",11549000,4.9,50+ terjual,AI Official Store,Jakarta Utara
1154,Lenovo IP Slim 5 7QID 7RID Ultra 5-125H 16GB 512GB 14″ OLED Split,11545000,5.0,8 terjual,GRAHA IT OFFICIAL,Surabaya
1155,Lenovo V14 G2 ITL Core i7-1165G7 8GB 512GB SSD W10 OHS 2019 BCID,11544000,5.0,13 terjual,Lenovo Authorized Bandung,Bandung
1156,"ASUS Vivobook 14 A1404VA Core i7-1355U 16GB 1TB SSD 14"" FHD IPS Win11",11539000,4.9,100+ terjual,TeknoTrend,Jakarta Pusat
1157,Macbook Retina 12 inch 2017 intel Cor M3 Ram 8GB SSD 256GB Grey Mulus,11500000,5.0,2 terjual,kajoedstore17,Jakarta Barat
1158,Macbook pro 13inch M1 2020 ram 16gb ssd 256gb touchbar mulus,11500000,Tidak Ada Rating,3 terjual,Laptoponline1,Batam
1159,LAPTOP MURAH GEN-12 VAIO FE14 I5 1235 16GB 1TBSSD W11 14.1FHD,11500000,Tidak Ada Rating,Tidak Ada Data,ProStoreComputer,Jakarta Utara
1160,TERMURAH MACBOOK PRO CHIP M1 2020 SECOND ORIGINAL 8 GB 16 GB 256 GB,11500000,5.0,3 terjual,MacbookNusantara,Jakarta Barat
1161,Asus Vivobook 14 M1405YA Ryzen 7 7730U 16GB 512SSD W11+OHS 14WUXGA IPS,11499000,5.0,250+ terjual,AMD Official Store,Jakarta Utara
1162,Lenovo IdeaPad Slim 3 14IRH8 Core i7-13620H 16GB 512GB W11 OHS,11499000,5.0,250+ terjual,Lenovo Official,Jakarta Pusat
1163,Lenovo IdeaPad Slim 3 14IRH8 I7 13620H 16GB 512GB W11+OHS - LAPTOP,11499000,Tidak Ada Rating,10 terjual,Lenovo Legion Official,Jakarta Pusat
1164,Lenovo Ideapad 5 2IN1 Ryzen 5 8645HS 16GB 512SSD Win 11 OHS IPS 14AHP9,11499000,5.0,7 terjual,Thinkpad Official Store,Jakarta Utara
1165,"ACER Aspire 14 A14-51M Core 7-150U 16GB 512GB w11 14"" wuxga ips",11499000,5.0,26 terjual,AGRES ID,Jakarta Utara
1166,"LENOVO IDEAPAD 5 2IN1 14 RYZEN 5 8645HS 16GB 512GB W11+OHS 14"" WUXGA",11499000,5.0,15 terjual,AGRES ID,Jakarta Utara
1167,"LENOVO IdeaPad Slim 5 Ultra 5-125H 16GB 512GB SSD 14""WUXGA IPS W11 OHS",11499000,5.0,5 terjual,Space Tech,Jakarta Barat
1168,Acer ASPIRE 14 CORE 7 150U 16gb 512ssd W11 + OHS WUXGA IPS,11499000,5.0,4 terjual,Agres ID Surabaya,Surabaya
1169,LENOVO IDEAPAD 5 14AHP9 2IN1 TOUCH RYZEN 7 8845 16GB 1TB W11 14.0FHD OFFICE IPS,11499000,5.0,40+ terjual,ProStoreComputer,Jakarta Utara
1170,LAPTOP DELL LATITUDE 5320 - I7 1185G7 8GB 256GB SSD/512GB SSD/1TB SSD WIN PRO + MICROSOFT OFFICE HOME AND BUSINESS,11499000,5.0,7 terjual,HOSANA COMPUTER,Jakarta Pusat
1171,ACER Aspire 14 A14 51M 70C1 Core 7 150U 16/512SSD W11 OHS WUXGA IPS,11499000,5.0,23 terjual,Acer Authorized Store Jakarta,Jakarta Utara
1172,LENOVO THINKPAD YOGA L13 2IN1 TOUCH I7 1255 16GB 1TB W11 13.3FHD IPS,11499000,5.0,7 terjual,Deca Computer,Jakarta Utara
1173,Lenovo Ideapad 5 2IN1 14 Ryzen 5 8645HS 16GB 512GB W11+OHS WUXGA -0BID,11499000,5.0,3 terjual,AMD Official Store,Jakarta Utara
1174,Dell Latitude 5320 Intel Core i7-1185G7 8GB RAM/512GB SSD 13.3'' HD Windows 10 Pro 3Y,11499000,5.0,3 terjual,ZX'computer,Jakarta Pusat
1175,ASUS VIVOBOOK OLED A1403ZA - i5 12500H 8GB 512GB SSD IRIS XE WIN11 OHS,11499000,5.0,7 terjual,HOSANA COMPUTER,Jakarta Pusat
1176,ASUS VIVOBOOK PRO M3400QA-OLEDS551/OLEDS552 R5-5600H 8GB 512GB W11+OHS,11499000,Tidak Ada Rating,Tidak Ada Data,Global Persada System,Jakarta Pusat
1177,Lenovo Thinkpad X1 Nano Carbon/Core i7 Gen-11/RAM 16GB/SSD 1TB/Touchscreen/Like New,11499000,5.0,8 terjual,King Laptops Official,Jakarta Utara
1178,Laptop 2IN1 Lenovo Ideapad 5 AMD Ryzen 7 8845HS Ram 16GB SSD 1TB Touchscreen Windows11,11499000,5.0,2 terjual,Evolutionlaptop,Jakarta Pusat
1179,"ACER ASPIRE 14 A14-51M CORE 7 150U 16GB 512GB SSD OHS 14"" WUXGA IPS",11499000,5.0,30+ terjual,ROGS STORE,Jakarta Utara
1180,"LENOVO IdeaPad FLEX 5 2-in-1 14AHP9 RYZEN 5-8645HS 16GB 512GB 14"" IPS WUXGA TOUCHSCREEN OHS W11",11499000,5.0,13 terjual,Protech Computer,Jakarta Pusat
1181,LENOVO THINKBOOK YOGA 14 2IN1 TOUCH I7 1255 16GB 1TB W11PRO 14.0FHD,11499000,5.0,6 terjual,Gaming Laptop ID,Jakarta Utara
1182,Lenovo Thinkbook 15 G2 Ryzen 7 4700 8GB 512ssd Vega7 IPS W10+OHS 15.6,11499000,5.0,1 terjual,AI Official Store,Jakarta Utara
1183,Acer Spin 5 Core I5 1335U 16GB 1TB SSD 14.0WUXGA FP PEN Touchscreen,11499000,5.0,8 terjual,Kang Laptop,Jakarta Selatan
1184,"Lenovo IdeaPad Slim 5 Intel Core Ultra 5 125H Arc 16GB 512GB SSD 14"" OLED",11489000,5.0,100+ terjual,Distributor Laptop ID,Jakarta Pusat
1185,Lenovo IdeaPad Slim 5 14IMH9 Core Ultra 5 125H 16GB 512GB W11 OHS OLED,11489000,5.0,100+ terjual,TeknoTrend,Jakarta Pusat
1186,ASUS Vivobook 14 A1407CA Ultra 5 225H 512GB SSD 16GB WUXGA IPS 100%sRGB Win11+OHS,11459000,Tidak Ada Rating,12 terjual,Sinarmulia Sukses Makmur,Jakarta Barat
1187,LENOVO Ideapad Slim 7 Pro 14 OLED Touch i7-1360P 16GB 1TB W11 14.0FHD,11449000,5.0,13 terjual,ALIENWARE GAMING STORE,Jakarta Utara
1188,"Lenovo Ideapad Slim 5 OLED i5-13420H 16GB 1TB SSD ""WUXGA OLED W11 OHS",11449000,5.0,3 terjual,We Itech,Jakarta Barat
1189,"ASUS Vivobook 14 OLED M1405YA RYZEN 7-7730U 16GB 1TB SSD 14"" 2.8K W11 OHS",11439000,4.9,500+ terjual,Protech Computer,Jakarta Pusat
1190,Asus Vivobook 14 OLED M1405YA Ryzen 7 7730U 16GB 1TB W11+OHS 14.0 2.8K,11439000,5.0,60+ terjual,AMD Official Store,Jakarta Utara
1191,"Asus Vivobook 14 OLED M1405YA RYZEN 7-7730U 16GB 1TB W11 14"" 2.8K",11439000,5.0,26 terjual,AGRES ID,Jakarta Utara
1192,Laptop Acer Swift Go 14 OLED SFG14-71-59WX Core i5 Gen13H 16GB 512GB,11400000,5.0,5 terjual,paradisestore.id,Jakarta Barat
1193,"HP Pavilion X360 14-EK2111TU/14-EK2222TU/14-EK2333TU Core 5-120U 16GB 512GB 14"" Touch FHD IPS W11 OHS",11399000,5.0,17 terjual,Protech Computer,Jakarta Pusat
1194,Acer Swift Go SFG14 Evo Core Ultra 5 125H Ram 16Gb 512Gb Win11+Ohs 14.0 2.8K Ips,11399000,5.0,4 terjual,Agres ID Bekasi,Bekasi
1195,"LENOVO IDEAPAD SLIM 5 16 TOUCH CORE i7 1355 16GB 1TB SSD 16"" FHD IPS",11399000,4.8,70+ terjual,ROGS STORE,Jakarta Utara
1196,Asus Vivobook 14 A1404VA i7-1355U Iris Xᵉ 16GB 1TB SSD FHD OHS W11,11399000,5.0,100+ terjual,Distributor Laptop ID,Jakarta Pusat
1197,HP ENVY X360 15 TOUCH I7 1255 16GB 1TB RTX2050 4GB W11 15.6FHD IPS,11399000,Tidak Ada Rating,1 terjual,ALIENWARE GAMING STORE,Jakarta Utara
1198,Lenovo Ideapad Slim 5 16 Touch Core i7 1355 16GB 512GB W11 16.0FHD IPS,11399000,4.9,40+ terjual,EnVicStore,Jakarta Utara
1199,Laptop Lenovo 2in1 X360 Touchscreen Yoga 7i 14 2in1 Intel Evo i5 1335U 16GB DDR5 1TB SSD 14.0 2.2K IPS,11399000,5.0,3 terjual,Evolutionlaptop,Jakarta Pusat
1200,HP PAVILION X360 14 TOUCH CORE 5 120U Ram 16GB 512GB W11+OHS 14.0Fhd Ips,11399000,5.0,12 terjual,GO LAPTOP JAKARTA,Jakarta Pusat
1201,LAPTOP LENOVO IDEAPAD 5 - I5 13500H 16GB 512GB SSD WUXGA WIN11 OHS,11399000,5.0,5 terjual,HOSANA COMPUTER,Jakarta Pusat
1202,Laptop HP PAVILION X360 14 EK2111TU / EK2222TU / EK2333TU TOUCHSCREEN CORE 5 120U 16GB 512GB W11+OHS 14.0FHD IPS,11399000,Tidak Ada Rating,3 terjual,AGRES - HP Authorized,Jakarta Utara
1203,ASUS TUF GAMING F15 FX507ZC4 i5-12500H 8GB 512GB RTX3050 4GB OHS W11,11389000,4.9,500+ terjual,Protech Computer,Jakarta Pusat
1204,ACER SWIFT GO 14 AI SFG14-73-5135 SILVER ULTRA 5 125H 16GB 512GB WIN11,11378000,5.0,7 terjual,ExpoComp,Surabaya
1205,"HP Pavilion Aero 13 be1000AU Ryzen 5 5625U 16GB 512GB 13"" WIN.11",11365000,Tidak Ada Rating,2 terjual,GRAHA IT OFFICIAL,Surabaya
1206,"ASUS ZENBOOK 14 OLED UM3402YAR TOUCH RYZEN 7 7730 16GB 1TB W11 14.0""",11349000,5.0,7 terjual,Gaming Laptop ID,Jakarta Utara
1207,"ACER SWIFT GO 14 SFG-73-5135 CORE ULTRA 5 125H WITH AI BOOST 16GB 512GB SSD INTEL ARC GRAPHICS 14"" 2K IPS 100% sRGB W11 OHS21 PURE SILVER SL OB",11334000,5.0,17 terjual,Acer Official Authorized Store,Jakarta Pusat
1208,ASUS VIVOBOOK S14 FLIP TN3402YA 2IN1 RYZEN 5 7430 16GB 512 SSD W11+OHS,11319000,5.0,100+ terjual,Gaming Laptop ID,Jakarta Utara
1209,"ASUS Vivobook S 14 Flip TN3402YA R5-7530U 16GB 512GB 14"" X360 W11 OHS",11319000,5.0,14 terjual,Collins Official,Jakarta Pusat
1210,"Asus Vivobook S14 Flip TN3402YA 16GB 512GB 14"" WUXGA TOUCH - VIPS558",11319000,5.0,4 terjual,Agres ID Bandung,Bandung
1211,"Asus Vivobook 14 A1407CA Core Ultra 5 225H Ram 32Gb 1Tbssd Win11+Ohs 14.0Wuxga Vips Blue, Gold & Silver",11309000,5.0,1 terjual,Agres ID Bekasi,Bekasi
1212,"ASUS VIVOBOOK 14 A1407CA ULTRA 5-225H 16GB 512GB w11 14"" wuxga",11309000,Tidak Ada Rating,9 terjual,AGRES ID,Jakarta Utara
1213,"ASUS VivoBook 14 A1407CA ULTRA 5 225H 16GB 512GB 14"" WUXGA IPS W11 OHS",11309000,5.0,30+ terjual,Collins Official,Jakarta Pusat
1214,Asus VIVOBOOK 14 A1407CA ULTRA 5 225H 16gb 512gb W11+OHS 14.0WUXGA VIPS BLUE -VIPS5151M,11309000,5.0,2 terjual,Agres ID Surabaya,Surabaya
1215,"ASUS VivoBook 14 A1407CA ULTRA 5-225H 16GB 512GB 14"" WUXGA IPS W11 OHS",11309000,5.0,2 terjual,Protech Computer,Jakarta Pusat
1216,"Asus Vivobook 14 A1407CA Ultra 5 225H 16GB 512GB 14"" WUXGA VIPS",11309000,Tidak Ada Rating,1 terjual,Gamer ID Bandung,Bandung
1217,"ASUS VIVOBOOK 14 A1407CA INTEL ULTRA 5 225H RAM 16GB 512GB SSD W11+OHS 14.0""WUXGA VIPS",11309000,Tidak Ada Rating,2 terjual,ROGS STORE,Jakarta Utara
1218,"Asus Vivobook 14 A1407CA - Ultra 5 225H Ram 16GB 512GB SSD 14""WUXGA",11309000,Tidak Ada Rating,1 terjual,INTEL STORE ID,Jakarta Utara
1219,ASUS VIVOBOOK 14 A1407CA ULTRA 5 225H 16GB 512GB W11+OHS+O365 14.0WUXGA VIPS,11309000,5.0,20 terjual,royalltech,Jakarta Utara
1220,ASUS VIVOBOOK 14 A1407CA Core Ultra 5 225H 16GB 512GB OHS 14.0WUXGA IPS,11309000,Tidak Ada Rating,3 terjual,Top Tech Comp,Jakarta Utara
1221,"ACER Swift Go 14 SFG14-73 Ultra 5-125H 512G 14"" 2.8K OLED 90Hz W11 OHS",11299000,5.0,40+ terjual,Protech Computer,Jakarta Pusat
1222,"LENOVO FLEX 7 14 2IN1 TOUCH CORE I7 1355 16GB 1TB SSD 14"" 2.2K",11299000,5.0,40+ terjual,ROGS STORE,Jakarta Utara
1223,HP PAVILION AERO 13 BE1000AU/BE1001AU RYZEN 5-5625U 16GB 512SSD W11,11299000,5.0,12 terjual,ALIENWARE GAMING STORE,Jakarta Utara
1224,"ASUS Vivobook 14 OLED M1405YA Ryzen 7-7730U 16GB 1TB SSD 14"" 2.8K OLED 90Hz W11 OHS",11299000,5.0,10 terjual,We Itech,Jakarta Barat
1225,"LENOVO IdeaPad Slim 5 Light 14ABR8 RYZEN 7-7730U 16G 512GB 14"" OHS W11",11299000,5.0,29 terjual,Protech Computer,Jakarta Pusat
1226,ASUS VIVOBOOK 14 A1407CA ULTRA 5 225H 16GB 512GB W11+OHS+O365 14.0WUXGA VIPS,11299000,5.0,30+ terjual,ProStoreComputer,Jakarta Utara
1227,"ASUS VIVOBOOK 15 TOUCH A1502ZA I5-1235U 8GB 512SSD IRISXE OHS 15,6FHD",11299000,5.0,4 terjual,ALIENWARE GAMING STORE,Jakarta Utara
1228,"ASUS VivoBook 14 A1407CA ULTRA 5 225H 16GB 512GB 14""WUXGA IPS W11 OHS",11299000,Tidak Ada Rating,3 terjual,We Itech,Jakarta Barat
1229,"LENOVO IDEAPAD SLIM 5 RYZEN 7 7735HS 16GB 512GB 13.3"" WUXGA IPS W11 OHS",11299000,Tidak Ada Rating,Tidak Ada Data,Lenovo Authorized Jakarta Utara,Jakarta Utara
1230,"ACER Swift GO SFG14 73 5135 Ultra 5 125H 16/512GB SSD W11 OHS 14"" 2.8K 100SRGB",11299000,5.0,100+ terjual,Acer Authorized Store Jakarta,Jakarta Utara
1231,Hp 15 I5 Gen 13 Th MX 570 A 2Gb 8Gb 512Gb 15 Full hd Win 11 Office,11299000,Tidak Ada Rating,1 terjual,Agres ID Jakarta Timur,Jakarta Timur
1232,LENOVO IDEAPAD SLIM 3 14 I7 13620H 16GB 512GB W11+OHS 14.0 FHD IPS,11250000,5.0,2 terjual,Agres ID Semarang.,Semarang
1233,Lenovo ThinkPad T14s G3 vPRO Core i7 Gen 12,11250000,5.0,1 terjual,Lextop Digital,Jakarta Pusat
1234,"Lenovo Ideapad Slim 5 13 Ryzen 7 7735HS 16GB 512GB W11+OHS 13.3"" WUXGA 100% sRGB -0LID",11249000,5.0,14 terjual,AMD Official Store,Jakarta Utara
1235,Lenovo Ideapad Slim 5 13ARP10 AMD Ryzen 7 7735HS 16GB 512SSD Windows 11 OHS 13 inch IPS 0LID,11249000,5.0,12 terjual,Thinkpad Official Store,Jakarta Utara
1236,Lenovo IdeaPad Slim 5 13 Ryzen 7 16GB 512GB 13 inch WUXGA 100% SRGB,11249000,5.0,4 terjual,GAMING DISTRIBUTOR ID,Jakarta Barat
1237,Lenovo Ideapad Slim 5 13 Ryzen 7 7735HS 16GB 1TB SSD W 11 + OHS 13 Inch,11249000,5.0,1 terjual,ROGZ Online,Jakarta Pusat
1238,"Lenovo Ideapad Slim 5 13ARP10 Ryzen 7 7735U 16Gb 512Gb 13.3"" WUXGA IPS",11249000,Tidak Ada Rating,2 terjual,Gamer ID Bandung,Bandung
1239,Acer Swift X SFX14 RTX3050 Ryzen 5 5500U 16GB 512SSD W11+OHS 14.0FHD,11249000,Tidak Ada Rating,Tidak Ada Data,OLYMPUS COMP,Jakarta Selatan
1240,LENOVO YOGA SLIM 7 14ITL05 82A300J1ID Core i5 1135G7 8/512 Iris Xe W11,11249000,Tidak Ada Rating,Tidak Ada Data,Alistore ID,Malang
1241,Lenovo Ideapad Slim 5 13ARP10 Amd Ryzen 7 7735HS Ram 16Gb 2Tbssd Win11+Ohs 13.3Wuxga 100Srgb Grey,11249000,5.0,1 terjual,Agres ID Bekasi,Bekasi
1242,Asus Vivobook S 14 M5406 OLED Ryzen 5 7535HS 16GB 512GB WUXGA FHD W11,11249000,5.0,4 terjual,NOTEBOOK GAMING ID,Jakarta Pusat
1243,"Asus Vivobook 14 A1407CA Intel Core Ultra 5 RAM 16GB 512GB SSD 14""",11200000,Tidak Ada Rating,25 terjual,Distributor Laptop ID,Jakarta Pusat
1244,Dell Latitude 3440 i5-1335u 8GB SSD 512GB IrisXe 14.0 FHD Windows 11,11199000,Tidak Ada Rating,22 terjual,Dell Official Store,Jakarta Utara
1245,Asus A409FJ i5 8265U 8GB 512GB SSD MX230 WIN10 EK551T/EK552T,11199000,4.8,40+ terjual,HOSANA COMPUTER,Jakarta Pusat
